Ich wollte mich nur für Ihre Hilfe vorhin bedanken;positive
Es ist immer schön von Ihnen zu hören;positive
Die Zusammenarbeit bei diesem Projekt hat mir sehr gut gefallen;positive
Lassen Sie mich wissen wenn ich Ihnen irgendwie helfen kann;positive
Ich hoffe Sie hatten ein schönes Wochenende;positive
Das ist eine großartige Leistung herzlichen Glückwunsch;positive
Ich würde gerne Ihre Meinung zu dieser Idee hören;positive
Es war mir eine Freude mit Ihnen zusammenzuarbeiten;positive
Vielen Dank dass Sie diese Ressource geteilt haben sie ist wirklich nützlich;positive
Ihre Äußerungen in der heutigen Besprechung haben mich inspiriert;positive
Es ist toll zu sehen dass sich Ihre harte Arbeit auszahlt;positive
Ich hoffe bei Ihrer Familie läuft alles gut;positive
Lassen Sie uns für nächste Woche ein Treffen vereinbaren;positive
Ich weiß es sehr zu schätzen dass Sie sich die Zeit genommen haben mir das zu erklären;positive
Sie haben dabei fantastische Arbeit geleistet;positive
Ich bin gespannt was Sie sich als Nächstes einfallen lassen;positive
Ich hoffe Ihre Reise verläuft reibungslos;positive
Es war so schön Sie endlich persönlich kennenzulernen;positive
Ich freue mich immer über unsere Gespräche;positive
Vielen Dank dass Sie mich auf dem Laufenden halten;positive
Ich werde Sie von hier aus anfeuern;positive
Ich hoffe Ihre Präsentation heute ist gut gelaufen;positive
Ihr Feedback hat mir wirklich geholfen meine Arbeit zu verbessern;positive
Es ist toll gemeinsam an etwas Sinnvollem zu arbeiten;positive
Ich habe in den letzten Wochen viel von Ihnen gelernt;positive
Lass uns in Kontakt bleiben und sehen wie sich die Dinge entwickeln;positive
Ich schätze deine Meinung zu diesem Thema sehr;positive
Ich hoffe du hast einen produktiven Tag;positive
Danke dass du dir Zeit für ein Gespräch genommen hast;positive
Das klingt nach einer spannenden Gelegenheit;positive
Ich wünsche dir viel Erfolg für deine bevorstehende Prüfung;positive
Es ist toll jemanden wie dich im Team zu haben;positive
Ich bin froh dass wir nach all der Zeit wieder Kontakt aufgenommen haben;positive
Ich hoffe dir gefällt dein neuer Wohnort;positive
Dein Engagement ist wirklich bewundernswert;positive
Danke dass du mich deinem Kollegen vorgestellt hast;positive
Es war mir eine Freude an deinem Workshop teilzunehmen;positive
Ich schätze die Mühe die du dir gemacht hast;positive
Deine Kreativität inspiriert mich immer wieder;positive
Ich hoffe du hast einen entspannten Abend;positive
Das ist eine großartige Idee ich glaube das könnte wirklich funktionieren;positive
Ich schätze das Vertrauen das wir aufgebaut haben sehr;positive
