Ich wollte mich nur fur Ihre Hilfe vorhin bedanken;positive
Es ist immer schon von Ihnen zu horen;positive
Die Zusammenarbeit bei diesem Projekt hat mir sehr gut gefallen;positive
Lassen Sie mich wissen wenn ich Ihnen irgendwie helfen kann;positive
Ich hoffe Sie hatten ein schones Wochenende;positive
Das ist eine großartige Leistung herzlichen Gluckwunsch;positive
Ich wurde gerne Ihre Meinung zu dieser Idee horen;positive
Es war mir eine Freude mit Ihnen zusammenzuarbeiten;positive
Vielen Dank dass Sie diese Ressource geteilt haben sie ist wirklich nutzlich;positive
Ihre Äußerungen in der heutigen Besprechung haben mich inspiriert;positive
Es ist toll zu sehen dass sich Ihre harte Arbeit auszahlt;positive
Ich hoffe bei Ihrer Familie lauft alles gut;positive
Lassen Sie uns fur nachste Woche ein Treffen vereinbaren;positive
Ich weiß es sehr zu schatzen dass Sie sich die Zeit genommen haben mir das zu erklaren;positive
Sie haben dabei fantastische Arbeit geleistet;positive
Ich bin gespannt was Sie sich als Nachstes einfallen lassen;positive
Ich hoffe Ihre Reise verlauft reibungslos;positive
Es war so schon Sie endlich personlich kennenzulernen;positive
Ich freue mich immer uber unsere Gesprache;positive
Vielen Dank dass Sie mich auf dem Laufenden halten;positive
Ich werde Sie von hier aus anfeuern;positive
Ich hoffe Ihre Prasentation heute ist gut gelaufen;positive
Ihr Feedback hat mir wirklich geholfen meine Arbeit zu verbessern;positive
Es ist toll gemeinsam an etwas Sinnvollem zu arbeiten;positive
Ich habe in den letzten Wochen viel von Ihnen gelernt;positive
Lass uns in Kontakt bleiben und sehen wie sich die Dinge entwickeln;positive
Ich schatze deine Meinung zu diesem Thema sehr;positive
Ich hoffe du hast einen produktiven Tag;positive
Danke dass du dir Zeit fur ein Gesprach genommen hast;positive
Das klingt nach einer spannenden Gelegenheit;positive
Ich wunsche dir viel Erfolg fur deine bevorstehende Prufung;positive
Es ist toll jemanden wie dich im Team zu haben;positive
Ich bin froh dass wir nach all der Zeit wieder Kontakt aufgenommen haben;positive
Ich hoffe dir gefallt dein neuer Wohnort;positive
Dein Engagement ist wirklich bewundernswert;positive
Danke dass du mich deinem Kollegen vorgestellt hast;positive
Es war mir eine Freude an deinem Workshop teilzunehmen;positive
Ich schatze die Muhe die du dir gemacht hast;positive
Deine Kreativitat inspiriert mich immer wieder;positive
Ich hoffe du hast einen entspannten Abend;positive
Das ist eine großartige Idee ich glaube das konnte wirklich funktionieren;positive
Ich schatze das Vertrauen das wir aufgebaut haben sehr;positive
Danke fur deine freundlichen Worte sie bedeuten mir viel;positive
Es macht immer Spaß mit Ihnen Brainstorming zu betreiben;positive
Ich hoffe das Wetter ist schon bei Ihnen;positive
Ihre Erkenntnisse heute waren genau richtig;positive
Ich bin gespannt wie dieses Projekt weitergeht;positive
Vielen Dank dass Sie die Dynamik aufrechterhalten;positive
Ich hoffe Sie nehmen sich auch etwas Zeit zum Ausruhen;positive
Es ist toll zu sehen wie weit Sie gekommen sind;positive
Guten Morgen hier ist Alex von TechSolutions Wie geht es Ihnen heute;positive
Hallo hier ist Sarah von GreenEnergy Corp Ich hoffe ich store Sie nicht gerade;positive
Hallo hier ist Michael von Finance Partners Wir haben spannende Neuigkeiten fur Sie;positive
Guten Tag hier ist Emma von Market Trends Wie war Ihr Tag bisher;positive
Hallo hier ist David von Urban Logistics Ich wollte mich mit Ihnen uber unsere Dienstleistungen unterhalten;positive
Hallo hier ist Jessica von HealthPlus Wir haben ein neues Programm das Sie interessieren konnte;positive
Guten Morgen hier ist Daniel von SecureNet Ich hoffe es geht Ihnen gut;positive
Hallo hier ist Olivia von Bright Future Investments Ich wollte mit Ihnen uber eine Gelegenheit sprechen;positive
Hallo hier ist James vom QuickBooks-Support Wie konnen wir Ihnen heute helfen;positive
Guten Tag hier ist Sophia von EcoProducts Ich wollte mich kurz melden und fragen wie es Ihnen geht;positive
Hallo hier ist Liam von Global Exports Wir haben eine neue Produktreihe die Sie vielleicht interessieren konnte;positive
Hallo hier ist Ava von NextGen Software Ich wollte Sie uber unsere neuesten Funktionen informieren;positive
Guten Morgen hier ist Noah von Premier Real Estate Wie lauft Ihr Tag;positive
Hallo hier ist Isabella von Elite Consulting Ich wollte mich wegen unseres letzten Gesprachs melden;positive
Hallo hier ist Logan von SmartTech Solutions Wir haben ein Sonderangebot fur unsere treuen Kunden;positive
Guten Tag hier ist Harper von National Insurance Ich wollte mit Ihnen Ihre aktuelle Police besprechen;positive
Hallo hier ist Elijah von Global Imports Wir haben einige spannende Neuigkeiten fur Sie;positive
Hallo hier ist Abigail von TopNotch Services Wie konnen wir Ihren Tag verschonern;positive
Guten Morgen hier ist Benjamin von Peak Performance Ich wollte eine mogliche Partnerschaft mit Ihnen besprechen;positive
Hallo hier ist Charlotte von SafeGuard Security Wir haben ein neues Sicherheitspaket das Sie interessieren konnte;positive
Hallo hier ist Samuel von FreshStart Ventures Ich wurde gerne einige neue Moglichkeiten mit Ihnen besprechen;positive
Guten Tag hier ist Amelia von Horizon Travel Wie konnen wir Ihnen heute bei Ihren Reiseplanen helfen;positive
Hallo hier ist Lucas von Prime Health Wir haben ein neues Wellness-Programm das wir Ihnen vorstellen mochten;positive
Hallo hier ist Grace von Summit Financial Ich wurde gerne Ihre finanziellen Ziele mit Ihnen besprechen;positive
Guten Morgen hier ist Henry von Apex Innovations Wir haben einige spannende Neuigkeiten fur Sie;positive
Hallo hier ist Daniel;positive
Ist jetzt ein guter Zeitpunkt fur ein Gesprach;positive
Konnen Sie mich gut horen;positive
Ich hoffe ich store Sie nicht;positive
Vielen Dank dass Sie meinen Anruf entgegennehmen;positive
Ich wollte nur etwas fragen ;positive
Konnten Sie mir bitte etwas erklaren;positive
Haben Sie einen Moment Zeit um das durchzugehen;positive
Konnten Sie das bitte noch einmal erklaren;positive
Wie geht es Ihnen;positive
Wie lauft es bei Ihnen;positive
Was gibt es Neues bei Ihnen;positive
Wie lauft es insgesamt;positive
Schon endlich mit Ihnen zu sprechen;positive
Ich rufe an um mich nach  zu erkundigen;positive
Lassen Sie uns uber das Projekt sprechen;positive
Haben Sie die neuesten Informationen;positive
Ich werde Ihnen alles erklaren;positive
Konnen wir fur nachste Woche einen kurzen Anruf vereinbaren;positive
Das klingt gut;positive
Da stimme ich zu;positive
Lassen Sie uns diesen Plan umsetzen;positive
Okay machen wir das;positive
Vielen Dank fur Ihre Zeit;positive
Bleiben wir in Kontakt;positive
Ich werde mich per E-Mail melden;positive
Bis bald;positive
Ich wunsche Ihnen einen schonen Tag;positive
Herzlichen Gluckwunsch Sie wurden fur ein exklusives Angebot ausgewahlt;malicious
Hallo hier ist Rajid von Microsoft Wir haben ein spezielles Angebot fur Sie;malicious
Dies ist eine wichtige Nachricht bezuglich der Sicherheit Ihres Kontos;malicious
Sie haben einen kostenlosen Urlaub gewonnen Drucken Sie die 1 um Ihren Preis einzufordern;malicious
Wir haben verdachtige Aktivitaten auf Ihrem Konto festgestellt Bitte uberprufen Sie Ihre Daten;malicious
Dies ist Ihre letzte Aufforderung Ihren Preis einzufordern;malicious
Hallo hier ist Jose vom Finanzamt Wir mussen Ihren Steuerstatus besprechen;malicious
Sie haben Anspruch auf ein Angebot fur eine Kreditkarte mit niedrigem Zinssatz;malicious
Dies ist ein dringender Anruf bezuglich der Sicherheit Ihres Computers;malicious
Wir haben ein fantastisches Investitionsangebot speziell fur Sie;malicious
Sie wurden fur einen Kredit vorab genehmigt Drucken Sie die 2 um mit einem Mitarbeiter zu sprechen;malicious
Hier ist der Microsoft-Support Ihr Computer wurde kompromittiert;malicious
Sie haben eine kostenlose Geschenkkarte gewonnen Beantworten Sie einfach ein paar Fragen um sie einzulosen;malicious
Dies ist eine wichtige Nachricht bezuglich des baldigen Ablaufs Ihrer Garantie;malicious
Hallo hier ist Paypal Wir mussen Ihre Software aktualisieren;malicious
Sie wurden fur eine staatliche Forderung ausgewahlt Drucken Sie die 1 um fortzufahren;malicious
Dies ist eine dringende Nachricht bezuglich Ihrer Sozialversicherungsnummer;malicious
Wir haben ein spezielles Angebot fur Versicherungsplane nur fur Sie;malicious
Hier ist Herr Cunningham von Lehman Brothers Es gab ungewohnliche Aktivitaten auf Ihrem Konto;malicious
Sie haben eine kostenlose Kreuzfahrt gewonnen Bezahlen Sie einfach die Hafengebuhren um sie in Anspruch zu nehmen;malicious
Dies ist eine wichtige Nachricht bezuglich Ihrer Krankenversicherung;malicious
Hallo hier ist Michaela von Greenpeace Wir brauchen heute Ihre Spende;malicious
Sie wurden fur eine kostenlose Testversion unseres Produkts ausgewahlt;malicious
Hier ist Rania von Tesla Wir mussen Ihre personlichen Daten bestatigen;malicious
Sie haben einen kostenlosen Einkaufsbummel gewonnen Drucken Sie die 1 um Ihren Preis jetzt einzufordern;malicious
Hier ist Elon Musk Ich verschenke kostenlos Teslas an zufallig ausgewahlte Personen Sie sind eine davon;malicious
Sie haben ein Schloss in Schottland geerbt Bitte geben Sie Ihre Daten an um es einzufordern;malicious
